operator,variant,N,selectivity_target,selectivity_achieved,groups_G,skew,run_id,kernel_ms,h2d_ms,d2h_ms,end2end_ms,rows_per_s,eff_GBps,correct
scalar_agg_sum,fixedpoint_reduce,10000000,0.01,0.0100351,0,uniform,5,1.83193,0,0.012968,2.5546,5.45873e+09,65.6754,1
groupby_sum_count,fixedpoint_atomics,10000000,0.01,0.0100351,8,uniform,5,1.22495,0,0.005207,1.6469,8.16362e+09,130.618,1
scan_filter_count,base,10000000,0.01,0.0100351,0,uniform,6,1.11766,0.003333,0.002604,1.5291,8.9473e+09,35.7892,1
projection_expr_compact,base,10000000,0.01,0.0100351,0,uniform,6,1.0976,0.00302,0.003177,1.5807,9.11075e+09,109.695,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.01,0.0100351,0,uniform,6,1.87359,0,0.011927,2.6562,5.33734e+09,64.2149,1
groupby_sum_count,fixedpoint_atomics,10000000,0.01,0.0100351,8,uniform,6,1.12932,0,0.004478,1.5692,8.85487e+09,141.678,1
scan_filter_count,base,10000000,0.01,0.0100351,0,uniform,7,1.12489,0.003385,0.002447,1.4864,8.88972e+09,35.5589,1
projection_expr_compact,base,10000000,0.01,0.0100351,0,uniform,7,1.12677,0.002708,0.002656,1.5682,8.87493e+09,106.855,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.01,0.0100351,0,uniform,7,1.93917,0,0.012343,2.6832,5.15686e+09,62.0434,1
groupby_sum_count,fixedpoint_atomics,10000000,0.01,0.0100351,8,uniform,7,1.12818,0,0.004947,1.5539,8.86386e+09,141.822,1
scan_filter_count,base,10000000,0.01,0.0100351,0,uniform,8,0.861979,0.003333,0.002395,1.3017,1.16012e+10,46.4048,1
projection_expr_compact,base,10000000,0.01,0.0100351,0,uniform,8,1.00042,0.002812,0.002968,1.4002,9.99584e+09,120.351,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.01,0.0100351,0,uniform,8,1.84104,0,0.013072,2.5266,5.43171e+09,65.3503,1
groupby_sum_count,fixedpoint_atomics,10000000,0.01,0.0100351,8,uniform,8,1.19458,0,0.004114,1.6305,8.37112e+09,133.938,1
scan_filter_count,base,10000000,0.01,0.0100351,0,uniform,9,1.18677,0.003541,0.003072,1.6196,8.42623e+09,33.7049,1
projection_expr_compact,base,10000000,0.01,0.0100351,0,uniform,9,1.01719,0.003385,0.002604,1.4323,9.83103e+09,118.367,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.01,0.0100351,0,uniform,9,1.82724,0,0.011614,2.6696,5.47274e+09,65.8439,1
groupby_sum_count,fixedpoint_atomics,10000000,0.01,0.0100351,8,uniform,9,1.17766,0,0.00453,1.6331,8.49144e+09,135.863,1
scan_filter_count,base,10000000,0.05,0.0500543,0,uniform,100000,1.0926,0.003072,0.002708,1.7379,9.15245e+09,36.6098,1
projection_expr_compact,base,10000000,0.05,0.0500543,0,uniform,100000,1.58464,0.003645,0.002864,1.9273,6.3106e+09,76.9907,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.05,0.0500543,0,uniform,100000,2.80026,0,0.013541,3.4088,3.5711e+09,42.9648,1
groupby_sum_count,fixedpoint_atomics,10000000,0.05,0.0500543,8,uniform,100000,1.9688,0,0.005051,2.6312,5.07923e+09,81.2677,1
scan_filter_count,base,10000000,0.05,0.0500543,0,uniform,0,0.86375,0.007552,0.002395,1.265,1.15774e+10,46.3097,1
projection_expr_compact,base,10000000,0.05,0.0500543,0,uniform,0,1.56604,0.003281,0.003281,2.169,6.38553e+09,77.9048,1
