operator,variant,N,selectivity_target,selectivity_achieved,groups_G,skew,run_id,kernel_ms,h2d_ms,d2h_ms,end2end_ms,rows_per_s,eff_GBps,correct
scan_filter_count,base,10000000,0.05,0.0500543,0,uniform,6,0.830625,0.006614,0.002552,1.2551,1.20391e+10,48.1565,1
projection_expr_compact,base,10000000,0.05,0.0500543,0,uniform,6,1.57693,0.003281,0.002708,1.9793,6.34145e+09,77.367,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.05,0.0500543,0,uniform,6,1.95776,0,0.010885,2.8338,5.10788e+09,61.4542,1
groupby_sum_count,fixedpoint_atomics,10000000,0.05,0.0500543,8,uniform,6,2.05453,0,0.004582,2.5029,4.86729e+09,77.8767,1
scan_filter_count,base,10000000,0.05,0.0500543,0,uniform,7,0.836718,0.003177,0.00276,1.2887,1.19515e+10,47.8058,1
projection_expr_compact,base,10000000,0.05,0.0500543,0,uniform,7,1.76703,0.003177,0.003229,2.3222,5.65921e+09,69.0436,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.05,0.0500543,0,uniform,7,2.06354,0,0.010572,2.7986,4.84604e+09,58.3039,1
groupby_sum_count,fixedpoint_atomics,10000000,0.05,0.0500543,8,uniform,7,2.11453,0,0.004687,2.7811,4.72918e+09,75.6669,1
scan_filter_count,base,10000000,0.05,0.0500543,0,uniform,8,0.846041,0.003385,0.002864,1.5304,1.18198e+10,47.279,1
projection_expr_compact,base,10000000,0.05,0.0500543,0,uniform,8,1.75547,0.00276,0.003125,2.3065,5.69649e+09,69.4984,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.05,0.0500543,0,uniform,8,1.92312,0,0.011979,2.6939,5.19987e+09,62.5609,1
groupby_sum_count,fixedpoint_atomics,10000000,0.05,0.0500543,8,uniform,8,1.88266,0,0.004999,2.4451,5.31164e+09,84.9864,1
scan_filter_count,base,10000000,0.05,0.0500543,0,uniform,9,0.766562,0.003437,0.002447,1.2171,1.30453e+10,52.181,1
projection_expr_compact,base,10000000,0.05,0.0500543,0,uniform,9,1.66344,0.00552,0.003333,2.2551,6.01165e+09,73.3434,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.05,0.0500543,0,uniform,9,1.99495,0,0.010416,2.6116,5.01266e+09,60.3086,1
groupby_sum_count,fixedpoint_atomics,10000000,0.05,0.0500543,8,uniform,9,1.96385,0,0.004791,2.4516,5.09203e+09,81.4725,1
scan_filter_count,base,10000000,0.1,0.10001,0,uniform,100000,0.77776,0.004791,0.002656,1.2576,1.28574e+10,51.4297,1
projection_expr_compact,base,10000000,0.1,0.10001,0,uniform,100000,1.86885,0.003385,0.002812,2.3497,5.35087e+09,66.351,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.1,0.10001,0,uniform,100000,2.06859,0,0.011302,2.8901,4.8342e+09,58.1615,1
groupby_sum_count,fixedpoint_atomics,10000000,0.1,0.10001,8,uniform,100000,2.355,0,0.004895,2.7975,4.24628e+09,67.9406,1
scan_filter_count,base,10000000,0.1,0.10001,0,uniform,0,0.768802,0.004166,0.0025,1.1891,1.30073e+10,52.029,1
projection_expr_compact,base,10000000,0.1,0.10001,0,uniform,0,1.91182,0.003229,0.00276,2.4296,5.23061e+09,64.8598,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.1,0.10001,0,uniform,0,2.13271,0,0.010208,2.8172,4.68887e+09,56.413,1
groupby_sum_count,fixedpoint_atomics,10000000,0.1,0.10001,8,uniform,0,2.45479,0,0.004426,2.9289,4.07367e+09,65.1787,1
scan_filter_count,base,10000000,0.1,0.10001,0,uniform,1,0.834062,0.003854,0.002708,1.4261,1.19895e+10,47.9581,1
projection_expr_compact,base,10000000,0.1,0.10001,0,uniform,1,1.8801,0.003437,0.003489,2.8591,5.31885e+09,65.954,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.1,0.10001,0,uniform,1,2.09526,0,0.011666,2.9165,4.77268e+09,57.4213,1
groupby_sum_count,fixedpoint_atomics,10000000,0.1,0.10001,8,uniform,1,2.4588,0,0.005155,2.9419,4.06702e+09,65.0724,1
scan_filter_count,base,10000000,0.1,0.10001,0,uniform,2,0.777447,0.003697,0.00302,1.4645,1.28626e+10,51.4505,1
projection_expr_compact,base,10000000,0.1,0.10001,0,uniform,2,1.97318,0.004166,0.003333,2.6142,5.06797e+09,62.843,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.1,0.10001,0,uniform,2,2.1876,0,0.010729,2.8215,4.57121e+09,54.9974,1
groupby_sum_count,fixedpoint_atomics,10000000,0.1,0.10001,8,uniform,2,2.3638,0,0.004374,3.0711,4.23047e+09,67.6876,1
scan_filter_count,base,10000000,0.1,0.10001,0,uniform,3,0.792395,0.003593,0.00276,1.2949,1.262e+10,50.4799,1
projection_expr_compact,base,10000000,0.1,0.10001,0,uniform,3,2.14151,0.00401,0.011197,2.6921,4.6696e+09,57.9033,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.1,0.10001,0,uniform,3,2.11156,0,0.011145,2.8586,4.73583e+09,56.978,1
