operator,variant,N,selectivity_target,selectivity_achieved,groups_G,skew,run_id,kernel_ms,h2d_ms,d2h_ms,end2end_ms,rows_per_s,eff_GBps,correct
scan_filter_count,base,10000000,0.05,0.0500543,0,uniform,9,0.878958,0.00427,0.004166,1.5251,1.13771e+10,45.5084,1
projection_expr_compact,base,10000000,0.05,0.0500543,0,uniform,9,1.62427,0.004114,0.003489,2.1385,6.15661e+09,75.112,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.05,0.0500543,0,uniform,9,1.95958,0,0.012135,2.6936,5.10313e+09,61.397,1
groupby_sum_count,fixedpoint_atomics,10000000,0.05,0.0500543,8,uniform,9,1.9037,0,0.006353,2.5464,5.25294e+09,84.047,1
scan_filter_count,base,10000000,0.1,0.10001,0,uniform,100000,0.905729,0.003593,0.002968,1.3723,1.10408e+10,44.1633,1
projection_expr_compact,base,10000000,0.1,0.10001,0,uniform,100000,1.88516,0.00375,0.003385,2.3956,5.3046e+09,65.7773,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.1,0.10001,0,uniform,100000,2.0663,0,0.013541,2.8992,4.83956e+09,58.226,1
groupby_sum_count,fixedpoint_atomics,10000000,0.1,0.0125095,8,uniform,100000,2.40224,0,0.006666,3.1303,4.16278e+09,66.6046,0
scan_filter_count,base,10000000,0.1,0.10001,0,uniform,0,0.883802,0.004062,0.004114,1.5855,1.13148e+10,45.259,1
projection_expr_compact,base,10000000,0.1,0.10001,0,uniform,0,1.92937,0.004427,0.003333,2.5367,5.18303e+09,64.2697,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.1,0.10001,0,uniform,0,2.28479,0,0.011927,3.0571,4.37677e+09,52.658,1
groupby_sum_count,fixedpoint_atomics,10000000,0.1,0.0125095,8,uniform,0,2.53021,0,0.004634,3.0948,3.95224e+09,63.2359,0
scan_filter_count,base,10000000,0.1,0.10001,0,uniform,1,0.822343,0.003645,0.003697,1.2473,1.21604e+10,48.6415,1
projection_expr_compact,base,10000000,0.1,0.10001,0,uniform,1,1.9851,0.00375,0.004062,2.5951,5.03752e+09,62.4654,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.1,0.10001,0,uniform,1,2.0787,0,0.012239,2.6933,4.81071e+09,57.8788,1
groupby_sum_count,fixedpoint_atomics,10000000,0.1,0.0125095,8,uniform,1,3.09708,0,0.00651,3.892,3.22884e+09,51.6615,0
scan_filter_count,base,10000000,0.1,0.10001,0,uniform,2,0.881197,0.003333,0.002916,1.3738,1.13482e+10,45.3928,1
projection_expr_compact,base,10000000,0.1,0.10001,0,uniform,2,1.91844,0.003489,0.003177,2.3907,5.21258e+09,64.6362,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.1,0.10001,0,uniform,2,2.07255,0,0.011562,2.7782,4.82497e+09,58.0504,1
groupby_sum_count,fixedpoint_atomics,10000000,0.1,0.0125095,8,uniform,2,2.44114,0,0.005676,2.8387,4.09644e+09,65.543,0
scan_filter_count,base,10000000,0.1,0.10001,0,uniform,3,0.872708,0.004635,0.003906,1.6282,1.14586e+10,45.8343,1
projection_expr_compact,base,10000000,0.1,0.10001,0,uniform,3,2.13739,0.00401,0.003802,2.6355,4.67859e+09,58.0147,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.1,0.10001,0,uniform,3,2.10057,0,0.01651,2.7997,4.76061e+09,57.2761,1
groupby_sum_count,fixedpoint_atomics,10000000,0.1,0.0125095,8,uniform,3,2.44922,0,0.005989,3.015,4.08294e+09,65.327,0
scan_filter_count,base,10000000,0.1,0.10001,0,uniform,4,0.906718,0.004114,0.003489,1.3856,1.10288e+10,44.1151,1
